DidaID,CADD1,CADD2,RecA,EssA,CADD3,CADD4,RecB,EssB,Path,DE,Pair
dd019,16.28,0.0,0.1057,0.0,24.9,0.0,0.2499,1.0,0,CO,TJP2/BAAT
dd020,13.99,0.0,0.1057,0.0,23.0,0.0,0.2499,1.0,0,CO,TJP2/BAAT
dd021,13.42,0.0,0.1289,0.0,18.53,0.0,0.0899,0.0,0,TD,OTUD4/RNF216
dd022,23.4,23.4,0.7293,1.0,22.4,0.0,0.6812,1.0,0,TD,EDNRB/RET
dd023,28.1,0.0,0.5406,0.0,14.81,0.0,0.1762,0.0,1,TD,PARK7/PINK1
dd024,24.7,0.0,0.4784,0.0,13.38,0.0,0.1762,0.0,1,CO,PARK2/PINK1
dd026,16.41,0.0,0.4104,0.0,18.53,0.0,0.6197,0.0,0,CO,CYP1B1/MYOC
dd027,14.11,35.0,0.4104,0.0,16.58,0.0,0.6197,0.0,0,TD,CYP1B1/MYOC
dd028,37.0,0.0,0.42,1.0,29.5,0.0,0.89,1.0,1,UK,MITF/TYR
dd029,12.76,0.0,0.8931,1.0,18.93,0.0,0.3662,1.0,0,CO,TYR/OCA2
dd030,18.35,18.35,0.8931,1.0,29.4,29.4,0.3662,1.0,0,CO,TYR/OCA2
dd031,41.0,44.0,0.28,1.0,35.0,0.0,0.33,1.0,1,UK,COL17A1/LAMB3
dd032,8.656,0.0,0.3515,1.0,6.082999999999999,0.0,0.4172,0.0,1,CO,FGG/FGA
dd033,2.915,0.0,0.4323,0.0,33.0,0.0,0.2732,0.0,1,CO,SLC3A1/SLC7A9
dd034,0.527,0.0,0.4323,0.0,39.0,0.0,0.2732,0.0,1,CO,SLC3A1/SLC7A9
dd035,31.0,0.0,0.4323,0.0,18.53,0.0,0.2732,0.0,1,CO,SLC3A1/SLC7A9
dd036,17.36,0.0,0.4323,0.0,32.0,32.0,0.2732,0.0,1,CO,SLC3A1/SLC7A9
dd037,17.36,17.36,0.2097,0.0,32.0,0.0,0.1039,1.0,1,CO,FZD4/LRP5
dd038,34.0,34.0,0.5373,0.0,1.05,0.0,0.9859,0.0,1,CO,EMD/LMNA
dd039,20.6,0.0,0.5373,0.0,24.9,0.0,0.9859,0.0,1,CO,EMD/LMNA
dd040,41.0,44.0,0.1631,0.0,35.0,0.0,0.0922,1.0,0,CO,GDAP1/MFN2
dd041,4.023,0.0,0.5592,0.0,9.068,9.068,0.1417,0.0,1,CO,CPOX/ALAD
dd042,14.51,0.0,0.15,0.292,34.0,0.0,0.34,1.0,0,UK,C10orf2/POLG
dd043,28.2,0.0,0.214,1.0,18.86,0.0,0.3437,1.0,1,CO,SCN1A/SCN2A
dd045,29.3,0.0,0.14,1.0,41.0,0.0,0.24600000000000002,0.0,0,UK,ABCC6/GGCX
dd046,20.2,0.0,0.6346,1.0,23.5,23.5,0.299,1.0,0,CO,PITX2/FOXC1
dd047,20.2,0.0,0.5949,1.0,20.4,23.5,0.2499,1.0,1,CO,KRT14/KRT5
dd048,35.0,43.0,0.1114,0.0,11.84,0.0,0.2578,1.0,0,CO,SCN5A/KCNE2
dd049,25.2,0.0,0.2097,0.0,20.2,0.0,0.2499,1.0,0,CO,F5/FZD4
dd050,18.37,0.0,0.6912,1.0,13.78,0.0,0.2286,1.0,1,CO,HMBS/UROD
dd051,12.65,0.0,0.5419,0.0,17.19,0.0,0.7304,0.0,0,TD,HFE/HAMP
dd052,31.0,0.0,0.5419,0.0,20.5,0.0,0.7304,0.0,0,CO,HFE/HAMP
dd053,11.83,0.0,0.33,0.0,24.7,0.0,0.34,0.0,1,UK,KCNE1/KCNQ1
dd054,11.83,0.0,0.3326,0.0,24.7,0.0,0.3367,0.0,0,CO,KCNQ1/KCNE1
dd055,9.997,0.0,0.33,0.0,19.83,0.0,0.34,0.0,1,UK,KCNE1/KCNQ1
dd056,13.92,0.0,0.3326,0.0,17.19,17.19,0.3367,0.0,0,CO,KCNQ1/KCNE1
dd058,9.997,0.0,0.3326,0.0,29.7,0.0,0.2975,1.0,0,CO,KCNH2/KCNE1
dd059,9.997,0.0,0.3326,0.0,19.83,0.0,0.2975,1.0,0,CO,KCNH2/KCNE1
dd060,19.17,0.0,0.3326,0.0,33.0,0.0,0.2975,1.0,0,CO,KCNH2/KCNE1
dd061,9.997,0.0,0.33,0.0,40.0,0.0,0.3,1.0,1,UK,KCNE1/KCNH2
dd062,35.0,0.0,0.3326,0.0,32.0,32.0,0.2975,1.0,0,CO,KCNH2/KCNE1
dd063,9.997,0.0,0.33,0.0,19.45,0.0,0.3,1.0,1,UK,KCNE1/KCNH2
dd064,25.1,25.1,0.3326,0.0,33.0,33.0,0.2975,1.0,0,CO,KCNH2/KCNE1
dd065,25.4,0.0,0.33,0.0,24.9,0.0,0.26,1.0,0,UK,KCNE1/SCN5A
dd066,42.0,38.0,0.3326,0.0,39.0,0.0,0.2578,1.0,0,CO,SCN5A/KCNE1
dd067,29.7,0.0,0.34,0.0,37.0,0.0,0.3,1.0,1,UK,KCNH2/KCNQ1
dd068,24.4,0.0,0.34,0.0,14.39,0.0,0.3,1.0,1,UK,KCNH2/KCNQ1
dd069,22.8,0.0,0.26,1.0,18.82,0.0,0.3,1.0,0,UK,KCNH2/SCN5A
dd070,16.45,0.0,0.56,0.0,13.2,0.0,0.3,1.0,0,UK,CAV3/KCNH2
dd071,0.0,0.0,0.1,0.0,16.98,16.98,0.31,1.0,1,UK,BBS2/MKKS
dd072,21.2,38.0,0.1,0.0,21.7,0.0,0.31,1.0,1,UK,BBS2/MKKS
dd073,42.0,42.0,0.1,0.0,27.8,0.0,0.31,1.0,1,UK,BBS2/MKKS
dd074,15.49,9.385,0.0954,0.0,27.8,0.0,0.3057,1.0,0,TD,BBS2/MKKS
dd075,17.34,17.34,0.0954,0.0,9.578,0.0,0.3277,1.0,0,TD,BBS4/BBS2
dd076,35.0,0.0,0.24600000000000002,1.0,32.0,32.0,0.18,0.292,1,UK,BBS1/BBS7
dd077,19.17,0.0,0.24600000000000002,1.0,33.0,0.0,0.1,0.0,1,UK,BBS1/BBS2
dd078,36.0,19.17,0.24600000000000002,1.0,6.57,0.0,0.31,1.0,1,UK,BBS1/MKKS
dd079,19.17,38.0,0.24600000000000002,1.0,11.68,0.0,0.31,1.0,1,UK,BBS1/MKKS
dd080,19.17,19.17,0.24600000000000002,1.0,26.7,0.0,0.1,0.0,1,UK,BBS1/BBS2
dd081,19.17,19.17,0.24600000000000002,1.0,16.33,0.0,0.33,1.0,1,UK,BBS1/BBS4
dd082,22.3,0.0,0.0954,0.0,9.836,0.0,0.3277,1.0,0,TD,BBS4/BBS2
dd083,19.17,0.0,0.0954,0.0,41.0,10.9,0.3277,1.0,0,TD,BBS4/BBS2
dd084,21.5,21.5,0.2499,1.0,14.63,0.0,0.1834,0.0,0,CO,BBS1/CCDC28B
dd085,0.015,0.0,0.2499,1.0,25.2,27.9,0.1834,0.0,0,CO,BBS1/CCDC28B
dd086,32.0,32.0,0.1794,0.0,10.81,0.0,0.3277,1.0,0,CO,BBS7/BBS4
dd087,9.292,0.0,0.18,0.292,25.2,27.9,0.1,0.0,1,UK,BBS2/BBS7
dd088,12.15,12.15,0.12,0.292,25.3,0.0,0.31,0.0,1,UK,CEP290/CEP41
dd089,28.7,0.0,0.22,0.292,14.41,19.61,0.15,0.292,1,UK,BBS10/BBS5
dd090,15.49,16.59,0.15,0.292,27.8,0.0,0.31,1.0,1,UK,BBS10/MKKS
dd091,0.0,20.1,0.15,0.292,21.9,0.0,0.17,0.292,1,UK,BBS10/BBS12
dd092,0.0,20.1,0.15,0.292,0.495,0.0,0.17,0.292,1,UK,BBS10/BBS12
dd093,15.49,9.385,0.15,0.292,27.8,0.0,0.31,1.0,1,UK,BBS10/MKKS
dd094,17.34,17.34,0.17,0.292,9.578,0.0,0.33,1.0,1,UK,BBS12/BBS4
dd095,29.1,19.17,0.24600000000000002,1.0,9.913,0.0,0.15,0.292,1,UK,BBS1/BBS10
dd096,26.4,26.4,0.24600000000000002,1.0,0.040999999999999995,0.0,0.15,0.292,1,UK,BBS1/BBS10
dd097,38.0,0.0,0.1,0.0,27.8,0.0,0.31,1.0,1,UK,BBS2/MKKS
dd098,38.0,35.0,0.1,0.0,27.8,0.0,0.31,1.0,1,UK,BBS2/MKKS
dd099,0.018000000000000002,0.0,0.15,0.292,35.0,35.0,0.1,0.0,1,UK,BBS10/BBS2
dd100,35.0,43.0,0.1,0.0,11.84,0.0,0.17,0.292,1,UK,BBS12/BBS2
dd101,17.75,17.75,0.1,0.0,16.69,0.0,0.17,0.292,1,UK,BBS12/BBS2
dd102,15.49,15.49,0.15,0.292,6.028,0.0,0.31,1.0,1,UK,BBS10/MKKS
dd103,15.49,32.0,0.15,0.292,36.0,0.0,0.1,0.0,1,UK,BBS10/BBS2
dd104,24.5,24.5,0.15,0.292,27.8,0.0,0.31,1.0,1,UK,BBS10/MKKS
dd105,38.0,38.0,0.24600000000000002,1.0,10.31,0.0,0.1,0.0,1,UK,BBS1/BBS2
dd106,4.349,4.349,0.24600000000000002,1.0,21.1,0.0,0.2,1.0,1,UK,BBS1/TTC8
dd107,19.17,38.0,0.24600000000000002,1.0,24.1,0.0,0.2,0.292,1,UK,BBS1/BBS9
dd108,11.11,11.11,0.15,0.292,21.9,0.0,0.17,0.292,1,UK,BBS10/BBS12
dd109,20.6,20.6,0.15,0.292,4.702,0.0,0.31,1.0,1,UK,BBS10/MKKS
dd110,0.015,0.0,0.15,0.292,25.2,27.9,0.1,0.0,1,UK,BBS10/BBS2
dd111,21.5,21.5,0.21,0.0,14.63,0.0,0.2,1.0,1,UK,ARL6/TTC8
dd112,32.0,32.0,0.18,0.292,10.81,0.0,0.2,1.0,1,UK,BBS7/TTC8
dd113,19.17,0.0,0.24600000000000002,1.0,41.0,10.9,0.17,0.292,1,UK,BBS1/BBS12
dd114,9.997,0.0,0.379,0.0,19.45,0.0,0.2665,1.0,1,TD,NPHS2/CD2AP
dd115,9.997,0.0,0.2665,1.0,19.96,0.0,0.535,1.0,1,TD,NPHS1/NPHS2
dd116,9.997,0.0,0.8746,1.0,40.0,0.0,0.535,1.0,0,TD,WT1/NPHS1
dd117,9.997,9.997,0.8931,1.0,25.0,0.0,0.5854,0.0,0,TD,TYR/SLC45A2
dd118,9.997,0.0,0.8931,1.0,24.3,0.0,0.5854,0.0,0,TD,TYR/SLC45A2
dd119,18.16,0.0,0.3662,1.0,16.19,0.0,0.5854,0.0,0,TD,OCA2/SLC45A2
dd120,29.3,0.0,0.8931,1.0,41.0,0.0,0.5854,0.0,0,TD,TYR/SLC45A2
dd121,22.1,0.0,0.8931,1.0,20.5,0.0,0.3662,1.0,0,TD,TYR/OCA2
dd122,14.9,0.0,0.69,0.0,13.45,7.318,0.41,0.0,0,UK,IL10RA/NOD2
dd123,28.9,0.0,0.1027,0.0,10.91,0.0,0.6866,1.0,1,TD,LMBRD1/MTR
dd124,23.0,0.0,0.3388,0.0,31.0,0.0,0.1784,0.0,0,TD,MYO7A/PCDH15
dd125,14.51,0.0,0.0994,1.0,34.0,0.0,0.2029,0.0,0,CO,EDA/WNT10A
dd126,19.16,0.0,0.0994,1.0,37.0,0.0,0.2029,0.0,0,CO,EDA/WNT10A
dd127,27.2,0.0,0.1,1.0,18.34,0.0,0.2,0.292,0,UK,EDA/WNT10A
dd128,35.0,0.0,0.0994,1.0,4.455,0.0,0.2029,0.0,0,CO,EDA/WNT10A
dd129,15.51,0.0,0.1,1.0,34.0,0.0,0.2,0.292,0,UK,EDA/WNT10A
dd130,33.0,0.0,0.1,1.0,18.34,0.0,0.2,0.292,0,UK,EDA/WNT10A
dd131,21.0,0.0,0.27,1.0,18.44,18.44,0.54,1.0,1,UK,NPHS1/NPHS2
dd132,35.0,35.0,0.27,1.0,11.69,0.0,0.54,1.0,1,UK,NPHS1/NPHS2
dd133,23.4,23.4,0.27,1.0,4.324,4.324,0.54,1.0,1,UK,NPHS1/NPHS2
dd134,37.0,0.0,0.1804,0.0,29.5,0.0,0.3194,0.0,0,CO,ATP2B2/MYO6
dd135,40.0,0.0,0.13,0.292,33.0,0.0,0.1,0.292,0,UK,CPT2/PYGM
dd136,15.52,29.5,0.2064,0.0,32.0,0.0,0.1337,1.0,0,CO,PROKR2/KAL1
dd137,23.0,0.0,0.21,0.292,18.79,0.0,0.79,1.0,1,UK,FGFR1/KAL1
dd138,16.82,14.11,0.24,0.0,13.32,0.0,0.79,1.0,0,UK,FGFR1/GNRHR
dd139,11.32,0.0,0.21,0.292,14.63,0.0,0.13,1.0,0,UK,KAL1/PROKR2
dd140,0.242,0.0,0.16,1.0,31.0,0.0,0.79,1.0,0,UK,FGFR1/KISS1R
dd141,4.994,0.0,0.12,0.0,17.58,0.0,0.13,1.0,1,UK,PROK2/PROKR2
dd142,11.32,0.0,0.21,0.292,20.3,0.0,0.79,1.0,1,UK,FGFR1/KAL1
dd143,8.333,0.0,0.21,0.292,44.0,0.0,0.14,1.0,0,UK,CHD7/KAL1
dd144,0.011000000000000001,0.0,0.3367,0.0,15.31,0.0,0.2578,1.0,0,CO,SCN5A/KCNQ1
dd145,16.76,0.0,0.375,1.0,21.9,21.9,0.4388,0.0,0,TD,SLC26A4/KCNJ10
dd146,12.76,0.0,0.375,1.0,36.0,0.0,0.4388,0.0,0,TD,SLC26A4/KCNJ10
dd147,25.8,0.0,0.3367,0.0,22.8,0.0,0.2578,1.0,0,CO,SCN5A/KCNQ1
dd148,22.5,0.0,0.7138,1.0,18.3,0.0,0.6812,1.0,0,TD,GDNF/RET
dd152,14.9,0.0,0.1631,0.0,13.45,7.318,0.0922,1.0,0,CO,GDAP1/MFN2
dd153,38.0,0.0,0.3388,0.0,27.2,0.0,0.203,0.0,0,TD,MYO7A/CDH23
dd154,29.5,0.0,0.163,0.0,29.8,0.0,0.203,0.0,0,TD,USH1C/CDH23
dd155,6.721,0.0,0.3388,0.0,26.7,26.7,0.1702,0.0,0,TD,MYO7A/GPR98
dd156,42.0,0.0,0.1648,0.0,26.7,0.0,0.1702,0.0,0,TD,GPR98/DFNB31
dd157,34.0,0.0,0.3388,0.0,19.67,0.0,0.2499,0.0,0,TD,MYO7A/USH2A
dd158,16.33,0.0,0.5373,0.0,15.27,0.0,0.9859,0.0,1,CO,EMD/LMNA
dd159,23.4,15.68,0.5373,0.0,4.815,0.0,0.9859,0.0,1,CO,EMD/LMNA
dd160,38.0,0.0,0.5373,0.0,27.8,0.0,0.9859,0.0,1,CO,EMD/LMNA
dd161,38.0,35.0,0.1103,0.0,27.8,0.0,0.2499,0.0,0,CO,USH2A/PDZD7
dd162,29.1,19.17,0.1103,0.0,9.913,0.0,0.2499,0.0,0,TD,USH2A/PDZD7
dd163,26.4,26.4,0.1103,0.0,0.040999999999999995,0.0,0.1702,0.0,0,TD,PDZD7/GPR98
dd164,0.018000000000000002,0.0,0.7859999999999999,1.0,35.0,35.0,0.1239,0.0,0,TD,IL17RD/FGFR1
dd165,11.64,0.0,0.16,1.0,15.35,0.0,0.12,0.0,0,UK,IL17RD/KISS1R
dd166,27.2,0.0,0.79,1.0,27.5,0.0,0.37,1.0,1,UK,DUSP6/FGFR1
dd167,23.8,0.0,0.14,1.0,2.056,0.0,0.37,1.0,0,UK,DUSP6/SPRY4
dd168,23.8,0.0,0.14,1.0,14.7,0.0,0.37,1.0,0,UK,DUSP6/SPRY4
dd169,23.8,0.0,0.14,1.0,27.2,0.0,0.79,1.0,0,UK,FGFR1/SPRY4
dd170,36.0,0.0,0.79,1.0,14.84,0.0,0.12,1.0,1,UK,FGFR1/FLRT3
dd171,15.11,15.11,0.37,1.0,19.7,19.7,0.32,0.292,0,UK,ITGA7/MYH7B
dd172,25.2,19.34,0.9378,1.0,22.8,0.0,0.2499,1.0,1,CO,HNF1A/HNF4A
dd173,19.17,38.0,0.5737,0.0,4.505,0.0,0.1601,0.0,0,TD,PRF1/UNC13D
dd174,12.15,12.15,0.5737,0.0,25.3,0.0,0.1601,0.0,0,TD,PRF1/UNC13D
dd175,9.292,0.0,0.5737,0.0,25.2,27.9,0.1601,0.0,0,TD,PRF1/UNC13D
dd176,15.49,16.59,0.5737,0.0,27.8,0.0,0.1601,0.0,0,TD,PRF1/UNC13D
dd177,28.7,0.0,0.5737,0.0,14.41,19.61,0.1601,0.0,0,TD,PRF1/UNC13D
dd178,0.0,20.1,0.5737,0.0,0.495,0.0,0.1601,0.0,0,TD,PRF1/UNC13D
dd179,0.0,20.1,0.5737,0.0,21.9,0.0,0.1601,0.0,0,TD,PRF1/UNC13D
dd180,41.0,0.0,0.5737,0.0,15.66,0.0,0.1601,0.0,0,TD,PRF1/UNC13D
dd181,17.98,0.0,0.5737,0.0,15.66,0.0,0.1601,0.0,0,TD,PRF1/UNC13D
dd182,23.8,19.17,0.5737,0.0,4.505,0.0,0.1601,0.0,0,TD,PRF1/UNC13D
dd184,19.17,38.0,0.5737,0.0,11.68,0.0,0.1601,0.0,0,TD,PRF1/UNC13D
dd185,19.17,19.17,0.5737,0.0,26.7,0.0,0.1601,0.0,0,TD,PRF1/UNC13D
dd187,19.17,19.17,0.5737,0.0,16.33,0.0,0.1601,0.0,0,TD,PRF1/UNC13D
dd188,36.0,19.17,0.5737,0.0,6.57,0.0,0.1321,0.3919,0,TD,PRF1/STXBP2
dd190,29.7,0.0,0.5737,0.0,37.0,0.0,0.1321,0.3919,0,TD,PRF1/STXBP2
dd191,9.997,0.0,0.5737,0.0,20.5,0.0,0.1321,0.3919,0,TD,PRF1/STXBP2
dd192,25.4,0.0,0.5737,0.0,24.9,0.0,0.1321,0.3919,0,TD,PRF1/STXBP2
dd193,9.997,0.0,0.5737,0.0,20.6,0.0,0.1321,0.3919,0,TD,PRF1/STXBP2
dd194,0.0,0.0,0.1321,0.3919,16.98,16.98,0.1601,0.0,0,TD,UNC13D/STXBP2
dd195,16.45,0.0,0.1321,0.3919,13.2,0.0,0.1601,0.0,0,TD,UNC13D/STXBP2
dd196,22.8,0.0,0.1321,0.3919,18.82,0.0,0.1601,0.0,0,TD,UNC13D/STXBP2
dd197,24.4,0.0,0.1321,0.3919,14.39,0.0,0.1601,0.0,0,TD,UNC13D/STXBP2
dd198,42.0,42.0,0.1832,0.3919,27.8,0.0,0.1601,0.0,0,TD,UNC13D/STX11
dd199,21.2,38.0,0.1321,0.3919,21.7,0.0,0.1832,0.3919,0,TD,STXBP2/STX11
dd200,4.6419999999999995,0.0,0.39,0.0,22.8,22.8,0.1321,0.3919,0,TD,STXBP2/RAB27A
dd201,26.6,0.0,0.79,1.0,28.1,0.0,0.13,1.0,0,UK,FGFR1/PROKR2
dd202,0.242,0.0,0.16,1.0,21.3,0.0,0.13,1.0,1,UK,KISS1R/PROKR2
dd203,9.119,0.0,0.24,0.0,8.526,0.0,0.13,1.0,1,UK,GNRHR/PROKR2
dd204,24.9,0.0,0.2499,1.0,17.27,0.0,0.1834,0.0,0,TD,BBS1/CCDC28B
dd205,17.99,0.0,0.15,0.292,25.5,0.0,0.34,1.0,0,UK,C10orf2/POLG
dd206,21.5,20.2,0.5056,1.0,23.5,0.0,0.1054,0.0,0,TD,TMPRSS3/GJB2
dd207,20.2,0.0,0.1475,0.3919,23.5,0.0,0.2499,1.0,0,TD,ATP2B3/LAMA1
dd208,24.4,24.4,0.24,0.0,20.1,0.0,0.12,0.0,1,UK,GNRHR/PROK2
dd209,14.6,0.0,0.37,1.0,12.56,0.0,0.38,1.0,0,UK,DSP/TTN
dd210,20.7,0.0,0.17,0.292,13.38,0.0,0.1,0.292,0,UK,MYH7/NEXN
dd211,27.1,0.0,0.17,0.292,25.7,0.0,0.24600000000000002,0.292,0,UK,MYH7/RBM20
dd212,29.6,0.0,0.34,1.0,23.5,0.0,0.37,1.0,1,UK,DSP/JUP
dd213,23.2,0.0,0.34,1.0,33.0,0.0,0.37,1.0,1,UK,DSP/JUP
dd215,14.44,0.0,0.16,0.0,15.98,14.69,0.38,1.0,0,UK,ABCC9/TTN
dd216,12.41,0.0,0.37,1.0,15.98,14.69,0.38,1.0,0,UK,DSP/TTN
dd217,15.04,0.0,0.1,0.292,10.85,12.52,0.38,1.0,0,UK,NEXN/TTN
dd218,9.997,0.0,0.5014,1.0,35.0,0.0,0.2063,0.0,0,CO,BMPR2/KCNA5
dd219,36.0,0.0,0.7373,1.0,0.0,0.0,0.6032,1.0,1,CO,NEUROD1/PDX1
dd220,3.4760000000000004,0.0,0.7373,1.0,34.0,0.0,0.6032,1.0,1,CO,NEUROD1/PDX1
dd221,11.07,0.0,0.1103,0.0,24.9,0.0,0.1702,0.0,0,TD,GPR98/PDZD7
dd222,0.894,0.0,0.2135,0.0,26.2,0.0,0.2303,0.0,0,TD,PRPH2/ROM1
dd223,0.894,0.0,0.2135,0.0,34.0,0.0,0.2303,0.0,0,TD,PRPH2/ROM1
dd224,33.0,0.0,0.14,0.0,36.0,36.0,0.39,0.0,0,TD,TRIM54/TRIM63
dd225,14.78,0.0,0.4,0.292,32.0,0.0,0.24600000000000002,0.0,1,TD,PSMA3/PSMB8
dd226,18.32,0.0,0.4,0.292,32.0,0.0,0.24600000000000002,0.0,1,TD,PSMA3/PSMB8
dd227,14.59,0.0,0.3,0.292,13.33,0.0,0.24600000000000002,0.0,1,TD,PSMB4/PSMB9
dd228,26.6,0.0,0.3,0.292,28.7,0.0,0.24600000000000002,0.0,1,TD,PSMB4/PSMB8
dd229,17.09,0.0,0.08,1.0,36.0,0.0,0.1,0.292,1,TD,CDK5RAP2/CEP152
dd230,17.89,0.0,0.25,0.0,10.38,0.0,0.34,0.0,1,CO,COL4A3/COL4A4
dd231,18.97,0.0,0.25,0.0,16.41,0.0,0.34,0.0,1,CO,COL4A3/COL4A4
dd232,39.0,0.0,0.25,0.0,15.39,0.0,0.34,0.0,1,CO,COL4A3/COL4A4
dd233,13.84,0.0,0.25,0.0,9.259,0.0,0.34,0.0,1,CO,COL4A3/COL4A4
dd234,19.47,0.0,0.25,0.0,17.37,0.0,0.34,0.0,1,CO,COL4A3/COL4A4
dd235,17.31,0.0,0.24600000000000002,0.0,18.42,0.0,0.25,0.0,1,CO,COL4A4/COL4A5
dd236,19.64,0.0,0.24600000000000002,0.0,17.32,0.0,0.25,0.0,1,CO,COL4A4/COL4A5
dd237,22.3,0.0,0.24600000000000002,0.0,21.1,0.0,0.25,0.0,1,CO,COL4A4/COL4A5
dd238,18.63,0.0,0.24600000000000002,0.0,8.621,0.778,0.25,0.0,1,CO,COL4A4/COL4A5
dd239,0.0,0.0,0.24600000000000002,0.292,20.1,20.1,0.17,0.292,0,TD,MAN1B1/SEC23A
dd240,35.0,0.0,0.24600000000000002,0.292,10.97,46.0,0.24600000000000002,0.0,0,TD,C2orf71/RP1L1
dd241,17.33,0.0,0.89,1.0,17.29,0.0,0.11,0.292,0,TD,DISP1/SHH
dd242,24.3,0.0,0.42,1.0,34.0,0.0,0.51,1.0,0,TD,GJB2/MITF
dd243,1.9480000000000002,0.0,0.11,0.0,0.003,0.0,0.21,1.0,1,TD,MEFV/NLRP3
dd244,10.45,0.0,0.11,0.0,16.28,0.0,0.21,1.0,1,TD,MEFV/NLRP3
dd245,11.81,0.0,0.92,0.0,3.622,0.0,0.21,1.0,0,TD,MEFV/TNFRSF1A
dd246,19.1,0.0,0.25,0.0,15.43,0.0,0.34,0.0,1,UK,COL4A3/COL4A4
dd247,10.75,0.0,0.25,0.0,15.43,0.0,0.34,0.0,1,UK,COL4A3/COL4A4
dd248,21.1,0.0,0.24600000000000002,0.0,15.43,0.0,0.34,0.0,1,UK,COL4A3/COL4A5
dd249,22.9,0.0,0.25,0.0,15.65,0.0,0.34,0.0,1,CO,COL4A3/COL4A4
dd250,12.56,0.0,0.24600000000000002,0.0,3.688,0.0,0.25,0.0,1,TD,COL4A4/COL4A5
dd251,21.9,0.0,0.24600000000000002,0.0,15.25,0.0,0.34,0.0,1,CO,COL4A3/COL4A5
dd252,20.6,0.0,0.59,1.0,22.7,0.0,0.24600000000000002,1.0,1,TD,KRT14/KRT5
dd253,28.9,0.0,0.59,1.0,18.55,0.0,0.24600000000000002,1.0,1,CO,KRT14/KRT5
dd254,9.338,0.0,0.19,0.0,18.42,0.0,0.08,0.0,0,CO,BMP15/SMC1B
dd255,24.0,0.0,0.09,1.0,22.6,0.0,0.24600000000000002,0.0,0,CO,GDF9/REC8
dd256,32.0,0.0,0.1,0.0,19.19,0.0,0.42,1.0,0,CO,FOXL2/GALT
dd257,15.71,0.0,0.1,0.0,20.5,0.0,0.24600000000000002,0.0,0,CO,FIGLA/GDF9
dd258,9.338,0.0,0.19,0.0,11.92,0.0,0.24600000000000002,0.0,0,CO,BMP15/NOBOX
dd259,7.419,5.011,0.24600000000000002,0.0,8.852,0.0,0.08,0.0,0,CO,NOBOX/SMC1B
dd260,9.338,0.0,0.19,0.0,7.419,0.0,0.24600000000000002,0.0,0,CO,BMP15/NOBOX
dd261,14.64,0.0,0.24600000000000002,0.292,31.0,0.0,0.15,0.0,0,TD,PDE3A/TRAPPC9
dd262,21.2,0.0,0.1,1.0,15.5,0.0,0.62,0.0,0,TD,CYP1B1/TEK
dd263,8.334,0.0,0.1,1.0,24.9,0.0,0.62,0.0,0,TD,CYP1B1/TEK
dd264,14.4,0.0,0.1,1.0,20.7,0.0,0.62,0.0,0,TD,CYP1B1/TEK
dd265,6.957999999999999,0.0,0.1,1.0,20.7,0.0,0.62,0.0,0,TD,CYP1B1/TEK
dd266,6.53,0.0,0.14,0.0,19.34,0.0,0.13,1.0,0,TD,PROKR2/WDR11
dd267,18.74,0.0,0.51,1.0,20.6,0.0,0.11,0.0,0,UK,GJB2/TMPRSS3
