DidaID,RecA,EssA,RecB,EssB,Path,CoExp,DE,Orphanet,Name,Pair,x,y
dd031,0.28,1.0,0.33,1.0,1,1,UK,305,Junctional epidermolysis bullosa,COL17A1/LAMB3,0.733078122138977,0.4550197720527649
dd032,0.35,1.0,0.42,0.0,1,1,CO,98881,Familial dysfibrinogenemia,FGG/FGA,0.8034242987632751,0.5337153673171997
dd033,0.43,0.0,0.27,0.0,1,1,CO,214,Cystinuria,SLC3A1/SLC7A9,0.9562105536460876,0.6182703971862793
dd034,0.43,0.0,0.27,0.0,1,1,CO,214,Cystinuria,SLC3A1/SLC7A9,0.940441370010376,0.5834364295005798
dd035,0.43,0.0,0.27,0.0,1,1,CO,214,Cystinuria,SLC3A1/SLC7A9,0.9465777277946472,0.604844868183136
dd036,0.43,0.0,0.27,0.0,1,1,CO,214,Cystinuria,SLC3A1/SLC7A9,0.9491257667541504,0.5949004888534546
dd037,0.21,0.0,0.1,1.0,1,0,CO,891,Familial exudative vitreoretinopathy,FZD4/LRP5,0.38485828042030334,0.1697361171245575
dd038,0.54,0.0,0.99,0.0,1,0,CO,261,Emery-Dreifuss muscular dystrophy,EMD/LMNA,0.5669246315956116,0.0
dd039,0.54,0.0,0.99,0.0,1,0,CO,261,Emery-Dreifuss muscular dystrophy,EMD/LMNA,0.5669246315956116,0.0
dd040,0.16,0.292,0.09,1.0,0,1,CO,166,Charcot-Marie-Tooth disease,GDAP1/MFN2,0.6536697149276733,0.8073416352272034
dd041,0.56,0.292,0.14,0.292,1,1,CO,738,Porphyria,ALAD/CPOX,0.9171935319900513,0.5890957117080688
dd042,0.15,0.292,0.34,1.0,0,0,UK,254892,Autosomal dominant progressive external ophthalmoplegia,C10orf2/POLG,0.25098273158073425,0.5719290375709534
dd043,0.21,1.0,0.34,1.0,1,1,CO,36387,Generalized epilepsy with febrile seizures-plus,SCN1A/SCN2A,0.7441936731338501,0.4508105516433716
dd045,0.14,1.0,0.24600000000000002,0.0,0,1,UK,758,Pseudoxanthoma elasticum,GGCX/ABCC6,0.5220247507095337,0.8689422011375427
dd046,0.63,1.0,0.3,1.0,0,0,CO,782,Axenfeld-Rieger syndrome,PITX2/FOXC1,0.33561471104621887,0.6365593671798706
dd047,0.59,1.0,0.24600000000000002,1.0,1,1,CO,304,Epidermolysis bullosa simplex,KRT5/KRT14,0.7167364358901978,0.44566747546195984
dd048,0.11,0.0,0.26,1.0,0,1,CO,768,Familial long QT syndrome,KCNE2/SCN5A,0.6740807294845581,0.7977878451347351
dd049,0.21,0.0,0.24600000000000002,1.0,0,0,CO,891,Familial exudative vitreoretinopathy,FZD4/F5,0.2191431075334549,0.5494416952133179
dd050,0.69,1.0,0.23,1.0,1,1,CO,738,Porphyria,HMBS/UROD,0.7102300524711609,0.4401552379131317
dd051,0.54,0.0,0.73,0.0,0,1,TD,220489,Rare hereditary hemochromatosis,HAMP/HFE,0.6548805236816406,0.9968514442443848
dd052,0.54,0.0,0.73,0.0,0,1,CO,220489,Rare hereditary hemochromatosis,HAMP/HFE,0.6548805236816406,0.9968514442443848
dd053,0.33,0.0,0.34,0.0,1,1,UK,768,Familial long QT syndrome,KCNE1/KCNQ1,0.9759234189987183,0.6037412285804749
dd054,0.33,0.0,0.34,0.0,1,1,CO,768,Familial long QT syndrome,KCNE1/KCNQ1,0.9759234189987183,0.6037412285804749
dd055,0.33,0.0,0.34,0.0,1,1,UK,768,Familial long QT syndrome,KCNE1/KCNQ1,0.9759234189987183,0.6037412285804749
dd056,0.33,0.0,0.34,0.0,1,1,CO,768,Familial long QT syndrome,KCNE1/KCNQ1,0.9759234189987183,0.6037412285804749
dd058,0.33,0.0,0.3,1.0,1,1,CO,768,Familial long QT syndrome,KCNE1/KCNH2,0.8853771090507507,0.3276209533214569
dd059,0.33,0.0,0.3,1.0,1,1,CO,768,Familial long QT syndrome,KCNE1/KCNH2,0.8853771090507507,0.3276209533214569
dd060,0.33,0.0,0.3,1.0,1,1,CO,768,Familial long QT syndrome,KCNE1/KCNH2,0.8853771090507507,0.3276209533214569
dd061,0.33,0.0,0.3,1.0,1,1,UK,768,Familial long QT syndrome,KCNE1/KCNH2,0.8853771090507507,0.3276209533214569
dd062,0.33,0.0,0.3,1.0,1,1,CO,768,Familial long QT syndrome,KCNE1/KCNH2,0.8853771090507507,0.3276209533214569
dd063,0.33,0.0,0.3,1.0,1,1,UK,768,Familial long QT syndrome,KCNE1/KCNH2,0.8853771090507507,0.3276209533214569
dd064,0.33,0.0,0.3,1.0,1,1,CO,768,Familial long QT syndrome,KCNE1/KCNH2,0.8853771090507507,0.3276209533214569
dd065,0.33,0.0,0.26,1.0,0,1,UK,768,Familial long QT syndrome,KCNE1/SCN5A,0.6721646189689636,0.8239074945449829
dd066,0.33,0.0,0.26,1.0,0,1,CO,768,Familial long QT syndrome,KCNE1/SCN5A,0.6721646189689636,0.8239074945449829
dd067,0.34,0.0,0.3,1.0,1,1,UK,768,Familial long QT syndrome,KCNQ1/KCNH2,0.865598201751709,0.34870147705078125
dd068,0.34,0.0,0.3,1.0,1,1,UK,768,Familial long QT syndrome,KCNQ1/KCNH2,0.865598201751709,0.34870147705078125
dd069,0.26,1.0,0.3,1.0,0,1,UK,768,Familial long QT syndrome,SCN5A/KCNH2,0.58428955078125,0.7763203978538513
dd070,0.56,0.0,0.3,1.0,0,1,UK,768,Familial long QT syndrome,CAV3/KCNH2,0.6869879961013794,0.8337809443473816
dd071,0.1,0.0,0.31,1.0,1,1,UK,110,Bardet-Biedl syndrome,BBS2/MKKS,0.8707478046417236,0.29277557134628296
dd072,0.1,0.0,0.31,1.0,1,1,UK,110,Bardet-Biedl syndrome,BBS2/MKKS,0.8707478046417236,0.29277557134628296
dd073,0.1,0.0,0.31,1.0,1,1,UK,110,Bardet-Biedl syndrome,BBS2/MKKS,0.8707478046417236,0.29277557134628296
dd074,0.1,0.0,0.31,1.0,1,1,TD,110,Bardet-Biedl syndrome,BBS2/MKKS,0.8707478046417236,0.29277557134628296
dd075,0.1,0.0,0.33,1.0,1,0,TD,110,Bardet-Biedl syndrome,BBS2/BBS4,0.3842484652996063,0.19612857699394226
dd076,0.24600000000000002,1.0,0.18,0.292,1,0,UK,110,Bardet-Biedl syndrome,BBS1/BBS7,0.5247254967689514,0.16189657151699066
dd077,0.24600000000000002,1.0,0.1,0.0,1,1,UK,110,Bardet-Biedl syndrome,BBS1/BBS2,0.7887498736381531,0.541504442691803
dd078,0.24600000000000002,1.0,0.31,1.0,1,1,UK,110,Bardet-Biedl syndrome,BBS1/MKKS,0.7367125153541565,0.45496538281440735
dd079,0.24600000000000002,1.0,0.31,1.0,1,1,UK,110,Bardet-Biedl syndrome,BBS1/MKKS,0.7426918148994446,0.4410192668437958
dd080,0.24600000000000002,1.0,0.1,0.0,1,1,UK,110,Bardet-Biedl syndrome,BBS1/BBS2,0.7887498736381531,0.541504442691803
dd081,0.24600000000000002,1.0,0.33,1.0,1,0,UK,110,Bardet-Biedl syndrome,BBS1/BBS4,0.483913779258728,0.3021256923675537
dd082,0.1,0.0,0.33,1.0,1,0,TD,110,Bardet-Biedl syndrome,BBS2/BBS4,0.3842484652996063,0.19612857699394226
dd083,0.1,0.0,0.33,1.0,1,0,TD,110,Bardet-Biedl syndrome,BBS2/BBS4,0.3789306879043579,0.20597973465919495
dd084,0.24600000000000002,1.0,0.18,0.292,0,0,CO,110,Bardet-Biedl syndrome,BBS1/CCDC28B,0.2881287932395935,0.7796388864517212
dd085,0.24600000000000002,1.0,0.18,0.292,0,0,CO,110,Bardet-Biedl syndrome,BBS1/CCDC28B,0.2881287932395935,0.7796388864517212
dd086,0.18,0.292,0.33,1.0,1,0,CO,110,Bardet-Biedl syndrome,BBS7/BBS4,0.4210812747478485,0.20993880927562714
dd087,0.18,0.292,0.1,0.0,1,0,UK,110,Bardet-Biedl syndrome,BBS7/BBS2,0.4967651963233948,0.05063270032405853
dd088,0.12,0.292,0.31,0.0,1,1,UK,475,Joubert syndrome,CEP41/CEP290,0.9322526454925537,0.5457950830459595
dd089,0.22,0.292,0.15,0.292,1,0,UK,110,Bardet-Biedl syndrome,BBS5/BBS10,0.48541954159736633,0.07681412994861603
dd090,0.15,0.292,0.31,1.0,1,0,UK,110,Bardet-Biedl syndrome,BBS10/MKKS,0.41257309913635254,0.1994326263666153
dd091,0.15,0.292,0.17,0.292,1,0,UK,110,Bardet-Biedl syndrome,BBS10/BBS12,0.4942223131656647,0.0848858579993248
dd092,0.15,0.292,0.17,0.292,1,0,UK,110,Bardet-Biedl syndrome,BBS10/BBS12,0.4804256856441498,0.07601497322320938
dd093,0.15,0.292,0.31,1.0,1,0,UK,110,Bardet-Biedl syndrome,BBS10/MKKS,0.41257309913635254,0.1994326263666153
dd094,0.17,0.292,0.33,1.0,1,1,UK,110,Bardet-Biedl syndrome,BBS12/BBS4,0.8385493755340576,0.3332333266735077
dd095,0.24600000000000002,1.0,0.15,0.292,1,0,UK,110,Bardet-Biedl syndrome,BBS1/BBS10,0.5245007872581482,0.16153967380523682
dd096,0.24600000000000002,1.0,0.15,0.292,1,0,UK,110,Bardet-Biedl syndrome,BBS1/BBS10,0.5245007872581482,0.16153967380523682
dd097,0.1,0.0,0.31,1.0,1,1,UK,110,Bardet-Biedl syndrome,BBS2/MKKS,0.8707478046417236,0.29277557134628296
dd098,0.1,0.0,0.31,1.0,1,1,UK,110,Bardet-Biedl syndrome,BBS2/MKKS,0.8707478046417236,0.29277557134628296
dd099,0.15,0.292,0.1,0.0,1,0,UK,110,Bardet-Biedl syndrome,BBS10/BBS2,0.48822712898254395,0.04715697094798088
dd100,0.1,0.0,0.17,0.292,1,1,UK,110,Bardet-Biedl syndrome,BBS2/BBS12,0.9655976891517639,0.5138068199157715
dd101,0.1,0.0,0.17,0.292,1,1,UK,110,Bardet-Biedl syndrome,BBS2/BBS12,0.9655976891517639,0.5138068199157715
dd102,0.15,0.292,0.31,1.0,1,0,UK,110,Bardet-Biedl syndrome,BBS10/MKKS,0.4006273150444031,0.2137763500213623
dd103,0.15,0.292,0.1,0.0,1,0,UK,110,Bardet-Biedl syndrome,BBS10/BBS2,0.488045334815979,0.047369588166475296
dd104,0.15,0.292,0.31,1.0,1,0,UK,110,Bardet-Biedl syndrome,BBS10/MKKS,0.4006273150444031,0.2137763500213623
dd105,0.24600000000000002,1.0,0.1,0.0,1,1,UK,110,Bardet-Biedl syndrome,BBS1/BBS2,0.7887498736381531,0.541504442691803
dd106,0.24600000000000002,1.0,0.2,1.0,1,1,UK,110,Bardet-Biedl syndrome,BBS1/TTC8,0.7426825165748596,0.43606412410736084
dd107,0.24600000000000002,1.0,0.2,0.292,1,1,UK,110,Bardet-Biedl syndrome,BBS1/BBS9,0.7842267751693726,0.5180421471595764
dd108,0.15,0.292,0.17,0.292,1,0,UK,110,Bardet-Biedl syndrome,BBS10/BBS12,0.49450722336769104,0.08493171632289886
dd109,0.15,0.292,0.31,1.0,1,0,UK,110,Bardet-Biedl syndrome,BBS10/MKKS,0.41257309913635254,0.1994326263666153
dd110,0.15,0.292,0.1,0.0,1,0,UK,110,Bardet-Biedl syndrome,BBS10/BBS2,0.4963149130344391,0.0578337199985981
dd111,0.21,0.0,0.2,1.0,1,1,UK,110,Bardet-Biedl syndrome,ARL6/TTC8,0.8556301593780518,0.32164710760116577
dd112,0.18,0.292,0.2,1.0,1,0,UK,110,Bardet-Biedl syndrome,BBS7/TTC8,0.41510629653930664,0.1819392442703247
dd113,0.24600000000000002,1.0,0.17,0.292,1,1,UK,110,Bardet-Biedl syndrome,BBS1/BBS12,0.7824802398681641,0.5189737677574158
dd114,0.38,0.0,0.27,1.0,1,0,TD,656,Familial idiopathic steroid-resistant nephrotic syndrome,CD2AP/NPHS2,0.4003014862537384,0.16831469535827637
dd115,0.27,1.0,0.54,1.0,1,0,TD,656,Familial idiopathic steroid-resistant nephrotic syndrome,NPHS2/NPHS1,0.5062731504440308,0.2924393117427826
dd116,0.87,1.0,0.54,1.0,0,1,TD,656,Familial idiopathic steroid-resistant nephrotic syndrome,WT1/NPHS1,0.5677067637443542,0.7667248249053955
dd117,0.89,1.0,0.59,0.0,1,0,TD,55,Oculocutaneous albinism,TYR/SLC45A2,0.5770798325538635,0.15295562148094177
dd118,0.89,1.0,0.59,0.0,1,0,TD,55,Oculocutaneous albinism,TYR/SLC45A2,0.5770798325538635,0.15295562148094177
dd119,0.37,1.0,0.59,0.0,1,1,TD,55,Oculocutaneous albinism,OCA2/SLC45A2,0.8086626529693604,0.5342829823493958
dd120,0.89,1.0,0.59,0.0,1,0,TD,55,Oculocutaneous albinism,TYR/SLC45A2,0.5770798325538635,0.15295562148094177
dd121,0.89,1.0,0.37,1.0,1,0,TD,55,Oculocutaneous albinism,TYR/OCA2,0.5381263494491577,0.3341299295425415
dd122,0.69,0.0,0.41,0.0,0,1,UK,238569,Autosomal recessive early-onset inflammatory bowel disease,NOD2/IL10RA,0.6616430878639221,0.9690743088722229
dd123,0.1,0.292,0.69,1.0,1,0,TD,622,Homocystinuria without methylmalonic aciduria,LMBRD1/MTR,0.40591010451316833,0.24088075757026672
dd124,0.34,0.0,0.18,0.0,0,1,TD,886,Usher syndrome,MYO7A/PCDH15,0.6987568140029907,0.9643641114234924
dd125,0.1,1.0,0.2,0.292,0,0,CO,2227,Hypodontia,EDA/WNT10A,0.30300796031951904,0.7578432559967041
dd126,0.1,1.0,0.2,0.292,0,0,CO,2227,Hypodontia,EDA/WNT10A,0.309970498085022,0.7720752954483032
dd127,0.1,1.0,0.2,0.292,0,0,UK,2227,Hypodontia,EDA/WNT10A,0.30300796031951904,0.7578432559967041
dd128,0.1,1.0,0.2,0.292,0,0,CO,2227,Hypodontia,EDA/WNT10A,0.28663644194602966,0.7579185962677002
dd129,0.1,1.0,0.2,0.292,0,0,UK,2227,Hypodontia,EDA/WNT10A,0.30997133255004883,0.772074282169342
dd130,0.1,1.0,0.2,0.292,0,0,UK,2227,Hypodontia,EDA/WNT10A,0.28663644194602966,0.7579185962677002
dd131,0.27,1.0,0.54,1.0,1,0,UK,656,Familial idiopathic steroid-resistant nephrotic syndrome,NPHS2/NPHS1,0.5059295296669006,0.2743327021598816
dd132,0.27,1.0,0.54,1.0,1,0,UK,656,Familial idiopathic steroid-resistant nephrotic syndrome,NPHS2/NPHS1,0.5059295296669006,0.2743327021598816
dd133,0.27,1.0,0.54,1.0,1,0,UK,656,Familial idiopathic steroid-resistant nephrotic syndrome,NPHS2/NPHS1,0.49826952815055847,0.2913852035999298
dd134,0.18,0.0,0.32,0.0,0,0,CO,87884,Non-syndromic genetic deafness,ATP2B2/MYO6,0.0807899758219719,0.8652496337890625
dd135,0.13,0.292,0.1,0.292,0,0,UK,368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,PYGM/CPT2,0.1553879976272583,0.7783179879188538
dd136,0.21,0.292,0.13,1.0,0,0,CO,478,Kallmann syndrome,KAL1/PROKR2,0.2224266678094864,0.5748401284217834
dd137,0.21,0.292,0.79,1.0,1,0,UK,174590,Congenital hypogonadotropic hypogonadism,KAL1/FGFR1,0.41603925824165344,0.24667172133922577
dd138,0.24,0.0,0.79,1.0,0,1,UK,432,Normosmic congenital hypogonadotropic hypogonadism,GNRHR/FGFR1,0.7018953561782837,0.7975524067878723
dd139,0.21,0.292,0.13,1.0,0,0,UK,174590,Congenital hypogonadotropic hypogonadism,KAL1/PROKR2,0.22316427528858185,0.5847837924957275
dd140,0.16,1.0,0.79,1.0,0,0,UK,432,Normosmic congenital hypogonadotropic hypogonadism,KISS1R/FGFR1,0.31001776456832886,0.6068668961524963
dd141,0.12,0.0,0.13,1.0,1,0,UK,432,Normosmic congenital hypogonadotropic hypogonadism,PROK2/PROKR2,0.3773486614227295,0.17931334674358368
dd142,0.21,0.292,0.79,1.0,1,0,UK,478,Kallmann syndrome,KAL1/FGFR1,0.41603925824165344,0.24667172133922577
dd143,0.21,0.292,0.14,1.0,0,0,UK,478,Kallmann syndrome,KAL1/CHD7,0.2377099245786667,0.5896267294883728
dd144,0.34,0.0,0.26,1.0,0,1,CO,768,Familial long QT syndrome,KCNQ1/SCN5A,0.6812209486961365,0.8178977370262146
dd145,0.38,1.0,0.44,0.0,0,0,TD,87884,Non-syndromic genetic deafness,KCNJ10/SLC26A4,0.2717081904411316,0.8070826530456543
dd146,0.38,1.0,0.44,0.0,0,0,TD,87884,Non-syndromic genetic deafness,KCNJ10/SLC26A4,0.2717081904411316,0.8070826530456543
dd147,0.34,0.0,0.26,1.0,0,1,CO,768,Familial long QT syndrome,KCNQ1/SCN5A,0.6812209486961365,0.8178977370262146
dd148,0.71,1.0,0.68,1.0,1,0,TD,388,Hirschsprung disease,GDNF/RET,0.5407516360282898,0.2940066456794739
dd152,0.16,0.292,0.09,1.0,0,1,CO,166,Charcot-Marie-Tooth disease,GDAP1/MFN2,0.6536697149276733,0.8073416352272034
dd153,0.34,0.0,0.2,0.0,0,1,TD,886,Usher syndrome,MYO7A/CDH23,0.6910822987556458,0.9702779650688171
dd154,0.17,0.0,0.2,0.0,0,1,TD,886,Usher syndrome,USH1C/CDH23,0.7172483801841736,0.9892168045043945
dd155,0.34,0.0,0.17,0.0,0,0,TD,886,Usher syndrome,MYO7A/GPR98,0.05218713730573654,0.8357368111610413
dd156,0.16,0.0,0.17,0.0,0,0,TD,886,Usher syndrome,DFNB31/GPR98,0.08237891644239426,0.834949791431427
dd157,0.34,0.0,0.24600000000000002,0.0,0,1,TD,886,Usher syndrome,MYO7A/USH2A,0.6861343383789062,0.9746905565261841
dd158,0.54,0.0,0.99,0.0,1,0,CO,334,Familial atrial fibrillation,EMD/LMNA,0.5695697069168091,0.00508923502638936
dd159,0.54,0.0,0.99,0.0,1,0,CO,334,Familial atrial fibrillation,EMD/LMNA,0.5695697069168091,0.00508923502638936
dd160,0.54,0.0,0.99,0.0,1,0,CO,166,Charcot-Marie-Tooth disease,EMD/LMNA,0.5696383118629456,0.0052209654822945595
dd161,0.11,0.292,0.24600000000000002,0.0,0,0,CO,886,Usher syndrome,PDZD7/USH2A,0.12404249608516693,0.8366036415100098
dd162,0.11,0.292,0.24600000000000002,0.0,0,0,TD,886,Usher syndrome,PDZD7/USH2A,0.1321803778409958,0.8365906476974487
dd163,0.11,0.292,0.17,0.0,0,0,TD,886,Usher syndrome,PDZD7/GPR98,0.13993315398693085,0.820266842842102
dd164,0.79,1.0,0.12,0.0,0,1,TD,478,Kallmann syndrome,FGFR1/IL17RD,0.5292848348617554,0.8294309973716736
dd165,0.16,1.0,0.12,0.0,0,0,UK,478,Kallmann syndrome,KISS1R/IL17RD,0.3046775162220001,0.8013131618499756
dd166,0.79,1.0,0.37,1.0,1,0,UK,478,Kallmann syndrome,FGFR1/DUSP6,0.5281379222869873,0.32911282777786255
dd167,0.14,1.0,0.37,1.0,0,0,UK,478,Kallmann syndrome,SPRY4/DUSP6,0.30293819308280945,0.6322057247161865
dd168,0.14,1.0,0.37,1.0,0,0,UK,478,Kallmann syndrome,SPRY4/DUSP6,0.30293819308280945,0.6322057247161865
dd169,0.14,1.0,0.79,1.0,0,1,UK,478,Kallmann syndrome,SPRY4/FGFR1,0.5830318927764893,0.7749297618865967
dd170,0.79,1.0,0.12,1.0,1,1,UK,478,Kallmann syndrome,FGFR1/FLRT3,0.7089412212371826,0.4231973886489868
dd171,0.37,1.0,0.32,0.292,0,1,UK,54260,Left ventricular non-compaction,ITGA7/MYH7B,0.5237323045730591,0.848781943321228
dd172,0.94,1.0,0.24600000000000002,1.0,1,1,CO,552,MODY,HNF4A/HNF1A,0.7006580829620361,0.4276673197746277
dd173,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.0011445148847997189,0.8283859491348267
dd174,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.0011445148847997189,0.8283859491348267
dd175,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.004171698819845915,0.7977229356765747
dd176,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.0,0.8084098696708679
dd177,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.030242159962654114,0.8132803440093994
dd178,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.015251938253641129,0.8135524392127991
dd179,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.020090613514184952,0.8402175903320312
dd180,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.019821524620056152,0.79099041223526
dd181,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.020090613514184952,0.8402175903320312
dd182,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.020090613514184952,0.8402175903320312
dd184,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.019821524620056152,0.79099041223526
dd185,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.03360658884048462,0.7970193028450012
dd187,0.57,0.0,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/UNC13D,0.028470562770962715,0.8186564445495605
dd188,0.57,0.0,0.13,0.292,0,1,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/STXBP2,0.684810996055603,0.9329043030738831
dd190,0.57,0.0,0.13,0.292,0,1,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/STXBP2,0.6712945699691772,0.9402192234992981
dd191,0.57,0.0,0.13,0.292,0,1,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/STXBP2,0.684810996055603,0.9329043030738831
dd192,0.57,0.0,0.13,0.292,0,1,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/STXBP2,0.684810996055603,0.9329043030738831
dd193,0.57,0.0,0.13,0.292,0,1,TD,540,Familial hemophagocytic lymphohistiocytosis,PRF1/STXBP2,0.684810996055603,0.9329043030738831
dd194,0.13,0.292,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,STXBP2/UNC13D,0.11662435531616211,0.8183722496032715
dd195,0.13,0.292,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,STXBP2/UNC13D,0.11668138206005096,0.8183744549751282
dd196,0.13,0.292,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,STXBP2/UNC13D,0.12447771430015564,0.7992657423019409
dd197,0.13,0.292,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,STXBP2/UNC13D,0.12884297966957092,0.8053240776062012
dd198,0.18,0.292,0.16,0.0,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,STX11/UNC13D,0.11431105434894562,0.7956496477127075
dd199,0.13,0.292,0.18,0.292,0,0,TD,540,Familial hemophagocytic lymphohistiocytosis,STXBP2/STX11,0.14410191774368286,0.7719370722770691
dd200,0.39,0.0,0.13,0.292,0,1,TD,540,Familial hemophagocytic lymphohistiocytosis,RAB27A/STXBP2,0.7040206789970398,0.9382230043411255
