DidaID,CADD1,CADD2,RecA,EssA,CADD3,CADD4,RecB,EssB,Distance,Path,CoExp,AllelicState,DE,Pair,Orphanet,Name
dd052,2.380722,0.0,0.54,0,3.3260129999999997,3.3260129999999997,0.73,0,1.25,0,1,3,CO,HAMP/HFE,220489,Rare hereditary hemochromatosis
dd053,1.7568110000000001,0.0,0.33,0,4.56071,0.0,0.34,0,1.25,1,1,2,UK,KCNE1/KCNQ1,768,Familial long QT syndrome
dd054,1.232433,0.0,0.33,0,5.027294,0.0,0.34,0,1.25,1,1,2,CO,KCNE1/KCNQ1,768,Familial long QT syndrome
dd055,1.232433,0.0,0.33,0,3.9002220000000003,0.0,0.34,0,1.25,1,1,2,UK,KCNE1/KCNQ1,768,Familial long QT syndrome
dd056,1.232433,0.0,0.33,0,5.58936,0.0,0.34,0,1.25,1,1,2,CO,KCNE1/KCNQ1,768,Familial long QT syndrome
dd058,3.561128,0.0,0.33,0,3.053674,0.0,0.3,1,1.74,1,1,2,CO,KCNE1/KCNH2,768,Familial long QT syndrome
dd059,1.232433,0.0,0.33,0,4.518,0.0,0.3,1,1.74,1,1,2,CO,KCNE1/KCNH2,768,Familial long QT syndrome
dd060,1.232433,1.232433,0.33,0,4.58903,0.0,0.3,1,1.74,1,1,3,CO,KCNE1/KCNH2,768,Familial long QT syndrome
dd061,1.232433,0.0,0.33,0,8.455494999999999,0.0,0.3,1,1.74,1,1,2,UK,KCNE1/KCNH2,768,Familial long QT syndrome
dd062,1.232433,0.0,0.33,0,3.923485,0.0,0.3,1,1.74,1,1,2,CO,KCNE1/KCNH2,768,Familial long QT syndrome
dd063,1.232433,0.0,0.33,0,3.8301300000000005,0.0,0.3,1,1.74,1,1,2,UK,KCNE1/KCNH2,768,Familial long QT syndrome
dd064,1.232433,0.0,0.33,0,4.022616,0.0,0.3,1,1.74,1,1,2,CO,KCNE1/KCNH2,768,Familial long QT syndrome
dd065,4.635455,0.0,0.33,0,4.576814,0.0,0.26,1,5.0,0,1,2,UK,KCNE1/SCN5A,768,Familial long QT syndrome
dd066,1.232433,0.0,0.33,0,3.9966459999999997,0.0,0.26,1,5.0,0,1,2,CO,KCNE1/SCN5A,768,Familial long QT syndrome
dd067,5.026473999999999,0.0,0.34,0,6.386285,0.0,0.3,1,1.11,1,1,2,UK,KCNQ1/KCNH2,768,Familial long QT syndrome
dd068,4.530883,0.0,0.34,0,2.52034,0.0,0.3,1,1.11,1,1,2,UK,KCNQ1/KCNH2,768,Familial long QT syndrome
dd069,4.338608,0.0,0.26,1,3.705997,0.0,0.3,1,6.94,0,1,2,UK,SCN5A/KCNH2,768,Familial long QT syndrome
dd070,3.127284,0.0,0.56,0,2.167073,0.0,0.3,1,1.77,0,1,2,UK,CAV3/KCNH2,768,Familial long QT syndrome
dd071,0.0,0.0,0.1,1,3.27133,3.27133,0.31,1,4.72,1,1,3,UK,BBS2/MKKS,110,Bardet-Biedl syndrome
dd072,4.110335,7.238539,0.1,1,4.18545,0.0,0.31,1,4.72,1,1,3,UK,BBS2/MKKS,110,Bardet-Biedl syndrome
dd073,9.443986,9.443986,0.1,1,4.863302,0.0,0.31,1,4.72,1,1,3,UK,BBS2/MKKS,110,Bardet-Biedl syndrome
dd074,9.443986,6.962669,0.1,1,7.309257000000001,0.0,0.31,1,4.72,1,1,3,TD,BBS2/MKKS,110,Bardet-Biedl syndrome
dd075,4.602201,4.602201,0.1,1,5.276133,5.276133,0.33,1,1.11,1,0,4,TD,BBS2/BBS4,110,Bardet-Biedl syndrome
dd076,5.436425,0.0,0.24600000000000002,1,5.111048,5.111048,0.18,1,1.11,1,0,3,UK,BBS1/BBS7,110,Bardet-Biedl syndrome
dd077,3.775319,0.0,0.24600000000000002,1,5.285921,0.0,0.1,1,1.11,1,1,3,UK,BBS1/BBS2,110,Bardet-Biedl syndrome
dd078,5.837228,3.775319,0.24600000000000002,1,0.47345,0.0,0.31,1,4.72,1,1,3,UK,BBS1/MKKS,110,Bardet-Biedl syndrome
dd079,3.775319,6.722564,0.24600000000000002,1,1.709411,0.0,0.31,1,4.72,1,1,3,UK,BBS1/MKKS,110,Bardet-Biedl syndrome
dd080,3.775319,3.775319,0.24600000000000002,1,4.762080999999999,0.0,0.1,1,1.11,1,1,3,UK,BBS1/BBS2,110,Bardet-Biedl syndrome
dd081,3.775319,3.775319,0.24600000000000002,1,3.092068,0.0,0.33,1,1.11,1,0,3,UK,BBS1/BBS4,110,Bardet-Biedl syndrome
dd082,8.911102,0.0,0.1,1,2.899034,0.0,0.33,1,1.11,1,0,2,TD,BBS2/BBS4,110,Bardet-Biedl syndrome
dd083,3.519946,0.0,0.1,1,2.8992259999999996,0.0,0.33,1,1.11,1,0,2,TD,BBS2/BBS4,110,Bardet-Biedl syndrome
dd084,4.455277,3.775319,0.24600000000000002,1,0.0936,0.0,0.18,0.62,1.76,0,0,3,CO,BBS1/CCDC28B,110,Bardet-Biedl syndrome
dd085,3.775319,6.679769,0.24600000000000002,1,0.0936,0.0,0.18,0.62,1.76,0,0,3,CO,BBS1/CCDC28B,110,Bardet-Biedl syndrome
dd086,4.613889,3.809803,0.18,1,4.33237,0.0,0.33,1,1.11,1,0,3,CO,BBS7/BBS4,110,Bardet-Biedl syndrome
dd087,1.0509879999999998,0.0,0.18,1,4.610975,4.875018,0.1,1,1.11,1,0,3,UK,BBS7/BBS2,110,Bardet-Biedl syndrome
dd088,1.850699,1.850699,0.12,0.67,4.621748,0.0,0.31,1,4.72,1,1,3,UK,CEP41/CEP290,475,Joubert syndrome
dd089,4.9445,0.0,0.22,0,2.5261560000000003,3.860732,0.15,1,4.72,1,0,3,UK,BBS5/BBS10,110,Bardet-Biedl syndrome
dd090,2.848632,3.164721,0.15,1,4.863302,0.0,0.31,1,1.25,1,0,3,UK,BBS10/MKKS,110,Bardet-Biedl syndrome
dd091,0.0,3.93351,0.15,1,4.2193879999999995,0.0,0.17,0,5.0,1,0,3,UK,BBS10/BBS12,110,Bardet-Biedl syndrome
dd092,0.0,3.93351,0.15,1,-0.873691,0.0,0.17,0,5.0,1,0,3,UK,BBS10/BBS12,110,Bardet-Biedl syndrome
dd093,2.848632,1.074033,0.15,1,4.863302,0.0,0.31,1,1.25,1,0,3,UK,BBS10/MKKS,110,Bardet-Biedl syndrome
dd094,3.365504,3.365504,0.17,0,1.122719,0.0,0.33,1,4.72,1,1,3,UK,BBS12/BBS4,110,Bardet-Biedl syndrome
dd095,4.973828,3.775319,0.24600000000000002,1,1.2101389999999999,0.0,0.15,1,4.72,1,0,3,UK,BBS1/BBS10,110,Bardet-Biedl syndrome
dd096,4.733619,4.733619,0.24600000000000002,1,-1.285891,0.0,0.15,1,4.72,1,0,3,UK,BBS1/BBS10,110,Bardet-Biedl syndrome
dd097,7.238539,0.0,0.1,1,4.863302,0.0,0.31,1,4.72,1,1,3,UK,BBS2/MKKS,110,Bardet-Biedl syndrome
dd098,7.238539,5.563619,0.1,1,4.863302,0.0,0.31,1,4.72,1,1,3,UK,BBS2/MKKS,110,Bardet-Biedl syndrome
dd099,-1.4825030000000001,0.0,0.15,1,5.563619,5.563619,0.1,1,4.72,1,0,3,UK,BBS10/BBS2,110,Bardet-Biedl syndrome
dd100,5.563619,9.832771000000001,0.1,1,1.7575450000000001,0.0,0.17,0,4.72,1,1,3,UK,BBS2/BBS12,110,Bardet-Biedl syndrome
dd101,3.4652220000000002,3.4652220000000002,0.1,1,3.1938310000000003,0.0,0.17,0,4.72,1,1,3,UK,BBS2/BBS12,110,Bardet-Biedl syndrome
dd102,2.848632,2.848632,0.15,1,0.373501,0.0,0.31,1,1.25,1,0,3,UK,BBS10/MKKS,110,Bardet-Biedl syndrome
dd103,2.848632,5.147232,0.15,1,5.663029,0.0,0.1,1,4.72,1,0,3,UK,BBS10/BBS2,110,Bardet-Biedl syndrome
dd104,4.534078,4.534078,0.15,1,4.863302,0.0,0.31,1,1.25,1,0,3,UK,BBS10/MKKS,110,Bardet-Biedl syndrome
dd105,6.679769,6.679769,0.24600000000000002,1,1.31513,0.0,0.1,1,1.11,1,1,3,UK,BBS1/BBS2,110,Bardet-Biedl syndrome
dd106,0.06414299999999999,0.06414299999999999,0.24600000000000002,1,4.101188,0.0,0.2,1,1.11,1,1,3,UK,BBS1/TTC8,110,Bardet-Biedl syndrome
dd107,3.775319,6.679769,0.24600000000000002,1,4.494053,0.0,0.2,0.62,1.11,1,1,3,UK,BBS1/BBS9,110,Bardet-Biedl syndrome
dd108,1.542389,1.542389,0.15,1,4.2193879999999995,0.0,0.17,0,5.0,1,0,3,UK,BBS10/BBS12,110,Bardet-Biedl syndrome
dd109,4.014132,4.014132,0.15,1,0.13058699999999998,0.0,0.31,1,1.25,1,0,3,UK,BBS10/MKKS,110,Bardet-Biedl syndrome
dd110,-1.567208,0.0,0.15,1,4.610975,4.875018,0.1,1,4.72,1,0,3,UK,BBS10/BBS2,110,Bardet-Biedl syndrome
dd111,4.164857,4.164857,0.21,1,2.5915470000000003,0.0,0.2,1,10.83,1,1,3,UK,ARL6/TTC8,110,Bardet-Biedl syndrome
dd112,5.111048,5.111048,0.18,1,1.45545,0.0,0.2,1,1.11,1,0,3,UK,BBS7/TTC8,110,Bardet-Biedl syndrome
dd113,3.7763430000000002,0.0,0.24600000000000002,1,8.867450999999999,1.480328,0.17,0,1.25,1,1,3,UK,BBS1/BBS12,110,Bardet-Biedl syndrome
dd114,4.266328,0.0,0.38,1,1.18974,0.0,0.27,1,1.11,1,0,2,TD,CD2AP/NPHS2,656,Familial idiopathic steroid-resistant nephrotic syndrome
dd115,4.4170940000000005,2.905673,0.27,1,0.15146700000000002,0.0,0.54,1,1.11,1,0,3,TD,NPHS2/NPHS1,656,Familial idiopathic steroid-resistant nephrotic syndrome
dd116,3.092947,0.0,0.87,1,2.785108,0.0,0.54,1,1.25,0,1,2,TD,WT1/NPHS1,656,Familial idiopathic steroid-resistant nephrotic syndrome
dd117,5.401075,0.0,0.89,1,3.8708050000000003,0.0,0.59,1,18.89,1,0,2,TD,TYR/SLC45A2,55,Oculocutaneous albinism
dd118,9.456068,0.0,0.89,1,4.763698000000001,0.0,0.59,1,18.89,1,0,2,TD,TYR/SLC45A2,55,Oculocutaneous albinism
dd119,0.501678,0.0,0.37,1,4.763698000000001,4.763698000000001,0.59,1,91.48,1,1,3,TD,OCA2/SLC45A2,55,Oculocutaneous albinism
dd120,5.013726,0.0,0.89,1,5.040196,0.0,0.59,1,18.89,1,0,2,TD,TYR/SLC45A2,55,Oculocutaneous albinism
dd121,7.087109,0.0,0.89,1,4.808007,0.0,0.37,1,71.37,1,0,2,TD,TYR/OCA2,55,Oculocutaneous albinism
dd122,2.674583,0.0,0.69,0,2.241546,0.616388,0.41,0,4.72,0,1,3,UK,NOD2/IL10RA,238569,Autosomal recessive early-onset inflammatory bowel disease
dd123,5.465819000000001,0.0,0.1,1,5.355748999999999,0.0,0.69,1,13.09,1,0,2,TD,LMBRD1/MTR,622,Homocystinuria without methylmalonic aciduria
dd124,3.079748,0.0,0.34,1,4.577907,0.0,0.18,0,15.79,0,1,2,TD,MYO7A/PCDH15,886,Usher syndrome
dd125,4.090419,0.0,0.1,1,3.603224,0.0,0.2,0,4.72,0,0,2,CO,EDA/WNT10A,2227,Hypodontia
dd126,3.192197,0.0,0.1,1,3.603224,0.0,0.2,0,4.72,0,0,2,CO,EDA/WNT10A,2227,Hypodontia
dd127,4.806961,0.0,0.1,1,3.603224,0.0,0.2,0,4.72,0,0,2,UK,EDA/WNT10A,2227,Hypodontia
dd128,2.581168,0.0,0.1,1,5.3914800000000005,0.0,0.2,0,4.72,0,0,2,CO,EDA/WNT10A,2227,Hypodontia
dd129,2.855734,0.0,0.1,1,5.3914800000000005,0.0,0.2,0,4.72,0,0,2,UK,EDA/WNT10A,2227,Hypodontia
dd130,5.270482,0.0,0.1,1,3.603224,0.0,0.2,0,4.72,0,0,2,UK,EDA/WNT10A,2227,Hypodontia
dd131,4.074946,0.0,0.27,1,3.624765,3.624765,0.54,1,1.11,1,0,3,UK,NPHS2/NPHS1,656,Familial idiopathic steroid-resistant nephrotic syndrome
dd132,5.5180739999999995,5.5180739999999995,0.27,1,1.712975,0.0,0.54,1,1.11,1,0,3,UK,NPHS2/NPHS1,656,Familial idiopathic steroid-resistant nephrotic syndrome
dd133,4.4170940000000005,4.4170940000000005,0.27,1,0.059491999999999996,0.059491999999999996,0.54,1,1.11,1,0,4,UK,NPHS2/NPHS1,656,Familial idiopathic steroid-resistant nephrotic syndrome
dd134,3.2131279999999998,0.0,0.18,1,4.249041,0.0,0.32,0,5.73,0,0,2,CO,ATP2B2/MYO6,87884,Non-syndromic genetic deafness
dd135,8.279428,0.0,0.13,0,5.265643,0.0,0.1,1,18.33,0,0,2,UK,PYGM/CPT2,368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency
dd136,5.44194,0.0,0.21,0.67,3.643036,0.0,0.13,1,10.83,0,0,2,CO,KAL1/PROKR2,478,Kallmann syndrome
dd137,4.364523,0.0,0.21,0.67,3.698727,0.0,0.79,1,1.25,1,0,2,UK,KAL1/FGFR1,174590,Congenital hypogonadotropic hypogonadism
dd138,3.228756,2.436953,0.24,1,2.202219,0.0,0.79,1,4.72,0,1,3,UK,GNRHR/FGFR1,432,Normosmic congenital hypogonadotropic hypogonadism
dd139,1.602809,0.0,0.21,0.67,2.593782,0.0,0.13,1,10.83,0,0,2,UK,KAL1/PROKR2,174590,Congenital hypogonadotropic hypogonadism
dd140,-1.012844,0.0,0.16,1,5.058952,0.0,0.79,1,4.72,0,0,2,UK,KISS1R/FGFR1,432,Normosmic congenital hypogonadotropic hypogonadism
dd141,0.184576,0.0,0.12,0,3.425811,0.0,0.13,1,1.11,1,0,2,UK,PROK2/PROKR2,432,Normosmic congenital hypogonadotropic hypogonadism
dd142,1.602809,0.0,0.21,0.67,3.9637,0.0,0.79,1,1.25,1,0,2,UK,KAL1/FGFR1,478,Kallmann syndrome
dd143,0.826981,0.0,0.21,0.67,10.580703999999999,0.0,0.14,1,11.25,0,0,2,UK,KAL1/CHD7,478,Kallmann syndrome
dd144,3.740915,0.0,0.34,0,0.714284,0.0,0.26,1,5.0,0,1,2,CO,KCNQ1/SCN5A,768,Familial long QT syndrome
dd145,1.711755,0.0,0.38,1,3.8625510000000003,0.0,0.44,0,20.0,0,0,2,TD,KCNJ10/SLC26A4,87884,Non-syndromic genetic deafness
dd146,2.463967,0.0,0.38,1,3.08364,0.0,0.44,0,20.0,0,0,2,TD,KCNJ10/SLC26A4,87884,Non-syndromic genetic deafness
dd147,6.037361,0.0,0.34,0,1.7404580000000003,0.0,0.26,1,5.0,0,1,2,CO,KCNQ1/SCN5A,768,Familial long QT syndrome
dd148,3.0149790000000003,0.0,0.71,1,7.48412,0.0,0.68,1,1.25,1,0,2,TD,GDNF/RET,388,Hirschsprung disease
dd152,5.675924,5.675924,0.16,0,3.6252769999999996,0.0,0.09,1,6.91,0,1,3,CO,GDAP1/MFN2,166,Charcot-Marie-Tooth disease
dd153,10.052561,3.8892879999999996,0.34,1,4.046377,0.0,0.2,0,8.06,0,1,3,TD,MYO7A/CDH23,886,Usher syndrome
dd154,3.888608,3.888608,0.17,0,3.961229,0.0,0.2,0,1.25,0,1,3,TD,USH1C/CDH23,886,Usher syndrome
dd155,1.569249,1.569249,0.34,1,3.9721559999999996,0.0,0.17,0,8.06,0,0,3,TD,MYO7A/GPR98,886,Usher syndrome
dd156,3.8689489999999997,0.0,0.16,0.67,4.423062,24.667046,0.17,0,2.78,0,0,3,TD,DFNB31/GPR98,886,Usher syndrome
dd157,4.549622,0.0,0.34,1,10.799331,3.041613,0.24600000000000002,0,8.06,0,1,3,TD,MYO7A/USH2A,886,Usher syndrome
dd158,0.11939000000000001,0.0,0.54,0,4.333499,0.0,0.99,1,23.44,1,0,2,CO,EMD/LMNA,334,Familial atrial fibrillation
dd159,0.11939000000000001,0.0,0.54,0,4.333499,0.0,0.99,1,23.44,1,0,2,CO,EMD/LMNA,334,Familial atrial fibrillation
dd160,0.11939000000000001,0.0,0.54,0,4.333499,4.333499,0.99,1,23.44,1,0,3,CO,EMD/LMNA,166,Charcot-Marie-Tooth disease
dd161,3.788518,0.0,0.11,0,8.863742,8.863742,0.24600000000000002,0,1.25,0,0,3,CO,PDZD7/USH2A,886,Usher syndrome
dd162,4.324955,0.0,0.11,0,9.590653,3.878971,0.24600000000000002,0,1.25,0,0,3,TD,PDZD7/USH2A,886,Usher syndrome
dd163,2.103238,0.0,0.11,0,23.654082,0.0,0.17,0,1.25,0,0,2,TD,PDZD7/GPR98,886,Usher syndrome
dd164,5.2850269999999995,0.0,0.79,1,3.419855,0.0,0.12,0,1.25,0,1,2,TD,FGFR1/IL17RD,478,Kallmann syndrome
dd165,1.6988560000000001,0.0,0.16,1,2.807864,0.0,0.12,0,10.83,0,0,2,UK,KISS1R/IL17RD,478,Kallmann syndrome
dd166,4.8109720000000005,0.0,0.79,1,4.840789,0.0,0.37,1,5.0,1,0,2,UK,FGFR1/DUSP6,478,Kallmann syndrome
dd167,4.459043,0.0,0.14,1,-0.41661000000000004,0.0,0.37,1,10.0,0,0,2,UK,SPRY4/DUSP6,478,Kallmann syndrome
dd168,4.459043,0.0,0.14,1,2.614679,0.0,0.37,1,10.0,0,0,2,UK,SPRY4/DUSP6,478,Kallmann syndrome
dd169,4.459043,0.0,0.14,1,4.807049,0.0,0.79,1,10.0,0,1,2,UK,SPRY4/FGFR1,478,Kallmann syndrome
dd170,5.948288,0.0,0.79,1,2.656413,0.0,0.12,1,25.03,1,1,2,UK,FGFR1/FLRT3,478,Kallmann syndrome
dd171,2.737478,2.737478,0.37,1,3.8760339999999998,3.8760339999999998,0.32,0.62,11.22,0,1,4,UK,ITGA7/MYH7B,54260,Left ventricular non-compaction
dd172,4.091597,0.0,0.94,1,1.731814,0.0,0.24600000000000002,1,1.25,1,1,2,CO,HNF4A/HNF1A,552,MODY
dd173,2.9509939999999997,0.0,0.57,1,7.062905000000001,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
dd174,3.869388,0.0,0.57,1,1.326083,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
dd175,2.82655,0.0,0.57,1,2.533121,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
dd176,3.869388,0.0,0.57,1,1.133122,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
dd177,3.869388,0.0,0.57,1,0.350463,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
dd178,3.869388,0.0,0.57,1,0.283005,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
dd179,2.64,0.0,0.57,1,3.685043,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
dd180,3.869388,0.0,0.57,1,1.744893,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
dd181,2.935914,0.0,0.57,1,4.006498000000001,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
dd182,3.869388,0.0,0.57,1,3.928993,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
dd184,3.056591,0.0,0.57,1,1.726749,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
dd185,3.6975230000000003,0.0,0.57,1,3.928993,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
dd187,3.869388,0.0,0.57,1,3.435135,0.0,0.16,0,19.44,0,0,2,TD,PRF1/UNC13D,540,Familial hemophagocytic lymphohistiocytosis
